stocks,yfinanceticker,femaleboard
GN STORE NORD,GN.CO,66.67
PANDORA,PNDORA.CO,57.14
CHR. HANSEN HOLDING,CHR.CO,50.0
COLOPLAST B,COLO-B.CO,50.0
GENMAB,GMAB.CO,50.0
ISS,ISS.CO,42.86
VESTAS WIND SYSTEMS,VWS.CO,42.86
DEMANT,DEMANT.CO,40.0
NETCOMPANY GROUP,NETC.CO,40.0
NORDEA BANK ABP,NDA-DK.CO,40.0
CARLSBERG B,CARL-B.CO,37.5
DANSKE BANK,DANSKE.CO,37.5
DSV,DSV.CO,37.5
NOVO NORDISK B,NOVO-B.CO,37.5
ØRSTED,ORSTED.CO,37.5
BAVARIAN NORDIC,BAVA.CO,33.33
FLSMIDTH & CO.,FLS.CO,33.33
JYSKE BANK,JYSK.CO,33.33
NOVOZYMES B,NZYM-B.CO,33.33
ROCKWOOL B,ROCK-B.CO,33.33
ROYAL UNIBREW,RBREW.CO,33.33
TRYG,TRYG.CO,33.33
A. P. MØLLER - MÆRSK A,MAERSK-A.CO,14.285
A. P. MØLLER - MÆRSK B,MAERSK-B.CO,14.285
AMBU B,AMBU-B.CO,28.57
OMX COPENHAGEN 25 INDEX,^OMXC25,40.0
